Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol
71,Pad Thai,410,33.46,13.79,1.6,4.29,33.08,9.47,22.27,3.67,16
72,Paella,289,17.59,3.68,8.51,4.41,10.71,28.93,10.5,2.39,102
73,Pancakes,118,34.16,3.41,12.98,3.71,24.83,25.01,14.78,9.49,76
74,Panna Cotta,354,36.48,11.05,7.62,8.24,70.65,26.59,14.38,8.21,36
75,Peking Duck,484,7.5,4.06,5.69,3.38,35.85,34.1,16.95,6.54,171
76,Pho,394,31.22,17.54,2.27,2.73,22.32,6.89,33.3,1.97,223
77,Pizza,366,16.23,7.76,4.89,8.76,48.01,27.63,35.62,9.62,20
78,Pork Chop,475,18.01,8.7,6.73,2.0,11.52,34.07,47.42,3.48,71
79,Poutine,137,31.74,11.73,14.69,6.53,56.08,15.17,28.74,5.14,86
80,Prime Rib,686,37.89,17.77,6.63,5.0,58.63,26.24,31.93,5.87,238
81,Pulled Pork Sandwich,95,17.85,13.45,14.84,3.18,32.85,25.39,29.82,2.2,126
82,Ramen,479,36.19,1.02,8.08,1.74,13.6,28.23,13.76,9.61,47
83,Ravioli,154,24.79,4.56,11.55,0.95,36.14,26.28,33.2,7.08,205
84,Red Velvet Cake,219,22.46,18.5,13.18,1.86,40.97,6.64,11.13,9.75,30
85,Risotto,296,3.18,8.39,7.01,5.45,22.84,18.32,22.58,5.26,195
86,Samosa,84,3.94,17.21,8.27,1.54,12.4,2.95,3.52,4.02,214
87,Sashimi,539,20.82,7.91,1.97,4.71,36.67,13.17,12.08,2.86,135
88,Scallops,119,23.65,8.35,6.24,4.58,61.91,12.87,10.36,9.81,202
89,Seaweed Salad,515,29.06,16.23,3.88,6.34,70.12,35.98,23.72,2.04,211
90,Shrimp And Grits,349,8.67,4.96,6.28,1.78,22.91,34.04,18.51,7.64,227
91,Spaghetti Bolognese,519,24.99,2.59,3.8,0.96,52.72,39.38,8.34,9.05,96
92,Spaghetti Carbonara,378,38.42,17.75,1.75,3.14,69.56,25.03,49.74,1.28,23
93,Spring Rolls,84,35.4,6.54,11.43,2.14,57.51,31.08,5.28,4.2,205
94,Steak,596,16.22,14.03,11.9,8.54,11.47,13.74,15.44,2.68,181
95,Strawberry Shortcake,197,14.44,1.62,2.84,8.8,29.36,3.15,16.85,7.41,31
96,Sushi,434,39.07,16.54,13.47,7.8,73.59,18.08,39.44,8.41,233
97,Tacos,572,7.14,18.4,12.03,2.9,33.9,15.68,22.58,8.12,2
98,Takoyaki,675,14.21,1.25,14.78,9.78,53.68,1.01,30.64,4.77,93
99,Tiramisu,184,18.33,11.47,5.69,6.02,26.87,34.45,44.08,7.98,202
100,Tuna Tartare,602,17.6,3.3,7.35,3.69,79.03,24.2,42.56,1.95,41
101,Waffles,247,11.1,1.04,7.21,8.17,40.62,7.07,13.66,3.68,154
